,accuracy,average_loss,cell0_size,cell1_size,cell2_size,cell3_size,cell4_size,cell5_size,cell6_size,conv,degree_of_convexity,global_step,loss,num_epochs,num_labels,temp
0,0.14495255053,2.35504198074,1314,1356,1306,1376,1313,1263,1333,0.0,0.152204448099,1355,5458.98730469,6,7,5.0
1,0.186447992921,2.32563185692,972,1514,579,1234,2274,772,1916,0.25,0.188706459803,2238,5388.48876953,6,7,5.0
2,0.103537529707,2.85202264786,696,1902,957,459,1636,197,3414,0.5,0.302790296037,3360,6610.98876953,6,7,5.0
3,0.154874891043,6.52977609634,5532,793,249,685,1380,400,222,0.75,0.498852935063,5446,15136.0214844,6,7,5.0
4,0.87402933836,0.692572832108,220,178,7905,101,216,249,392,1.0,0.859559150093,7781,1605.38378906,6,7,5.0
5,0.14495255053,2.12078022957,1332,1351,1341,1378,1278,1356,1225,0.0,0.15222962298,1356,4915.96875,6,7,1.0
6,0.0690846294165,4.12778425217,1360,1611,644,2199,976,1987,484,0.25,0.19350230867,2165,9559.94824219,6,7,1.0
7,0.260888308287,2.49350547791,1113,853,259,2306,694,3667,369,0.5,0.308942440311,3610,5782.43945312,6,7,1.0
8,0.0759275257587,8.47151088715,5950,131,392,646,354,1427,361,0.75,0.524352071301,5857,19636.9628906,6,7,1.0
9,0.400086313486,3.99691939354,150,5351,504,386,2112,475,283,1.0,0.651594332802,5268,9260.86230469,6,7,1.0
10,0.205869659781,2.38605046272,1783,892,1295,762,816,1905,1808,0.0,0.19635064719,1875,5528.47900391,6,7,0.1
11,0.178679332137,4.34711503983,2439,896,1585,886,675,736,2044,0.25,0.23367311471,2401,10072.265625,6,7,0.1
12,0.188524588943,5.40324735641,1963,413,559,217,2167,90,3852,0.5,0.339572409488,3792,12524.7275391,6,7,0.1
13,0.0711820498109,4.19191265106,89,140,627,1731,401,5611,662,0.75,0.514413035967,5523,9716.85351562,6,7,0.1
14,0.629693567753,1.69159209728,144,116,2861,405,260,5336,139,1.0,0.718981020622,5253,3919.41894531,6,7,0.1
15,0.383088856936,2.40848398209,821,4445,464,600,1758,664,509,0.0,0.737802645344,4375,5582.86572266,6,7,0.01
16,0.542906403542,1.57852756977,2577,2565,808,394,323,1273,1321,0.25,0.718956233284,2536,3660.60546875,6,7,0.01
17,0.527610003948,1.8728736639,779,1190,1305,2401,1795,828,963,0.5,0.821074491214,2363,4341.32128906,6,7,0.01
18,0.542943477631,1.39933443069,1154,1724,1675,1979,268,1401,1060,0.75,0.830509832738,1948,3242.2578125,6,7,0.01
19,0.516824841499,2.00507187843,773,1384,431,2766,1149,1820,938,1.0,0.912165993383,2723,4647.75683594,6,7,0.01
20,0.639620184898,1.85044324398,1318,1470,2404,661,1332,1076,1000,0.0,0.771936726748,2367,4287.47705078,6,7,0.001
21,0.688956022263,1.00047373772,338,686,616,3493,947,3013,168,0.25,0.83875303851,3438,2319.09814453,6,7,0.001
22,0.472617506981,2.47575998306,373,346,1629,681,2759,1365,2108,0.5,0.783067732635,2716,5741.28759766,6,7,0.001
23,0.42234686017,3.51360297203,525,1423,1680,399,783,3893,558,0.75,0.878745125388,3832,8144.53173828,6,7,0.001
24,0.295513361692,3.43007969856,487,455,269,828,931,5754,537,1.0,0.936943317669,5664,7950.92480469,6,7,0.001
25,0.452113896608,2.01278281212,1313,1508,2346,1774,1086,836,398,0.0,0.738859136716,2309,4665.63037109,6,7,0.0005
26,0.553925812244,1.86521494389,2025,1046,2511,851,1201,1076,551,0.25,0.759674104427,2472,4323.56835938,6,7,0.0005
27,0.441328734159,3.25065517426,3253,404,820,938,497,1619,1730,0.5,0.81876200705,3202,7535.01855469,6,7,0.0005
28,0.122950822115,7.92002534866,7036,13,621,992,166,18,415,0.75,0.85638235398,6927,18358.6191406,6,7,0.0005
29,0.435476899147,1.98375821114,2252,1146,839,1135,1798,739,1352,1.0,0.949278284574,2217,4596.36767578,6,7,0.0005
30,0.126402065158,2.75919699669,1325,1332,1375,1269,1269,1332,1359,0.0,0.151436595711,1354,6395.81884766,6,7,5.0
31,0.0927924066782,3.69316124916,1850,2246,1662,1184,724,548,1047,0.25,0.188556624338,2211,8557.0546875,6,7,5.0
32,0.121709108353,4.69273805618,825,4341,448,120,2172,188,1167,0.5,0.330091529477,4273,10873.0742188,6,7,5.0
33,0.202848508954,3.69748973846,153,876,1134,980,1062,4184,872,0.75,0.418373525456,4119,8567.08398438,6,7,5.0
34,0.293914556503,3.91949820518,499,94,862,5980,324,519,983,1.0,0.691681123412,5887,9081.47753906,6,7,5.0
35,0.156600520015,2.25906229019,1270,1379,1324,1351,1335,1305,1297,0.0,0.153314043786,1358,5236.50634766,6,7,1.0
36,0.236739978194,2.93999743462,1669,2090,769,549,1810,1354,1020,0.25,0.187761092897,2057,6817.85400391,6,7,1.0
37,0.190250217915,3.26800751686,280,3310,1885,125,1306,647,1708,0.5,0.308864308466,3258,7575.24169922,6,7,1.0
38,0.0543572045863,4.09609889984,2208,937,4233,447,772,133,531,0.75,0.442892951541,4166,9494.75683594,6,7,1.0
39,0.360500216484,2.26354122162,1530,77,3588,173,393,3069,431,1.0,0.573485160358,3532,5249.15234375,6,7,1.0
40,0.1850733459,2.55936408043,1417,1840,1186,1664,903,582,1669,0.0,0.191609453709,1812,5932.60595703,6,7,0.1
41,0.25625538826,2.34356665611,557,1092,2017,2339,299,1343,1614,0.25,0.212930281519,2303,5432.38769531,6,7,0.1
42,0.257549613714,2.51517558098,2241,615,125,3060,208,2285,727,0.5,0.320731481032,3013,5830.17675781,6,7,0.1
